,2330.TW,700.HK,9988.HK,NESN.SW,005930.KS,ASML.AS,ROG.SW,MC.PA,NOVN.SW,7203.T,SHOP,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,RY.TO,3690.HK,CBA.AX,6758.T,TD.TO,SIE.DE,SAN.PA,HSBA.L,DGE.L,TTE.PA,OR.PA,BHP.AX,ALV.DE,GSK.L,6861.T,CSL.AX,RIO.L,BP.L,SU.PA,BATS.L,NPN.JO,9984.T,VALE3.SA,RDSA.AS,AI.PA,RELIANCE.NS,ENB.TO,AIR.PA,939.HK,ENEL.MI,BNS.TO,IBE.MC,DAI.DE,INFY.NS,BAS.DE,RYDBF,CNR.TO,ADS.DE,DTE.DE,6098.T,BNP.PA,388.HK,WBC.AX,8306.T,7974.T,DPW.DE,BAM.A.TO,NIO,BMO.TO,KER.PA,JD,RITN.,BHP.L,8035.T,SAN.MC,NAB.AX,RKT.L,4063.T,000660.KS,ANZ.AX,BAYN.DE,XTSLA,HDFC.NS,ZURN.SW,6501.T,2318.HK,ABBN.SW,LONN.SW,ABI.BR,2269.HK,DG.PA,UBSG.SW,005935.KQ,REL.L,4502.T,7267.T,6594.T,2317.TW,IFX.DE,EL.PA,2454.TW,1810.HK,WES.AX,AAL.L,PDD,9433.T,CM.TO,DSV.CO,INGA.AS,CP.TO,BIDU,7741.T,PRU.L,SAF.PA,PRX.AS,RMS.PA,NTES,TRP.TO,RI.PA,6981.T,8316.T,ADYEN.AS,GAZP.ME,SIKA.SW,6954.T,6367.T,CS.PA,9983.T,INVE B.ST,PHIA.AS,SBER.ME,CNQ.TO,GIVN.SW,GLEN.L,VOD.L,BN.PA,ICICIBANK.NS,ISP.MI,035420.KS,NG.L,LLOY.L,VOW3.DE,VWS.CO,CRH.L,TCS.NS,D05.SI,MQG.AX,BBVA.MC,BARC.L,035720.KS,STLA.MI,6702.T,ABX.TO,LKOH.ME,1120.SR,9434.T,8031.T,CPG.L,MUV2.DE,ITX.MC,ERIC B.ST,ATCO A.ST,WOW.AX,3382.T,LSEG.L,NDA SE.ST,AHT.L,NTR.TO,8411.T,ALC.SW,VOLV B.ST,8058.T,006400.KS,4568.T,8001.T,EXPN.L,SU.TO,051910.KS,MFC.TO,VNA.DE,PGHN.SW,CAP.PA,4503.T,1180.SR,M4B.,AMS.MC,FERG.L,2413.T,1398.HK,DSM.AS,BMW.DE,RIO.AX,9432.T,DSY.PA,SGO.PA,DB1.DE,6273.T,O39.SI,LR.PA,FMG.AX,TCL.AX,SAND.ST,6902.T,HOLN.SW,DSYA.,CLNX.MC,ATD.B.TO,CSU.TO,HEXA B.ST,ORSTED.CO,SLF.TO,4661.T,FLTR.L,4452.T,4911.T,GEBN.SW,HEIA.AS,NOKIA.HE,8766.T,WKL.AS,ENI.MI,FNV.TO,9930.TW,AD.AS,ASSA B.ST,USD,GMAB.CO,AMXL.MX,EVO.ST,MRK.DE,ML.PA,669.HK,RACE.MI,BAM,CFR.SW,HINDUNILVR.NS,4901.T,2331.HK,ITUB4.SA,EOAN.DE,STM.PA,2303.TW,EUR,AUD,4543.T,2010.SR,n/a,SUM
08/30/2021,1.93,1.28,1.16,1.33,1.15,1.25,1.04,0.74,0.75,0.67,0.62,0.67,0.54,0.54,0.57,0.66,0.54,0.39,0.49,0.48,0.44,0.46,0.44,0.4,0.41,0.41,0.43,0.35,0.35,0.38,0.41,0.38,0.31,0.3,0.36,0.3,0.13,0.26,0.27,0.3,0.31,0.32,0.29,0.3,0.26,0.27,0.28,0.28,0.26,0.29,0.26,0.26,0.28,0.25,0.26,0.28,0.26,0.26,0.25,0.25,0.19,0.25,0.0,0.18,0.24,0.22,0.25,0.0,0.24,0.23,0.24,0.24,0.2,0.21,0.19,0.22,0.2,0.16,0.23,0.24,0.2,0.17,0.23,0.24,0.17,0.19,0.2,0.23,0.19,0.21,0.19,0.18,0.19,0.18,0.2,0.2,0.17,0.17,0.19,0.19,0.15,0.18,0.19,0.19,0.2,0.17,0.15,0.21,0.2,0.15,0.3,0.17,0.14,0.16,0.16,0.17,0.17,0.22,0.17,0.19,0.15,0.22,0.19,0.14,0.16,0.15,0.17,0.14,0.18,0.17,0.16,0.16,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.16,0.16,0.15,0.15,0.13,0.13,0.12,0.15,0.14,0.13,0.13,0.15,0.14,0.13,0.16,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.15,0.12,0.14,0.14,0.15,0.14,0.15,0.0,0.12,0.14,0.13,0.14,0.13,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.14,0.0,0.0,0.12,0.14,0.14,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.13,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.650000000000006
08/31/2021,1.93,1.26,1.12,1.34,1.11,1.27,1.04,0.74,0.75,0.67,0.63,0.67,0.54,0.55,0.57,0.65,0.54,0.39,0.49,0.47,0.44,0.47,0.44,0.4,0.41,0.41,0.43,0.35,0.35,0.38,0.39,0.38,0.31,0.31,0.36,0.3,0.13,0.26,0.27,0.3,0.31,0.32,0.29,0.3,0.26,0.27,0.28,0.28,0.26,0.29,0.26,0.27,0.28,0.25,0.27,0.29,0.26,0.26,0.25,0.25,0.19,0.25,0.0,0.18,0.24,0.22,0.25,0.0,0.24,0.22,0.24,0.24,0.2,0.21,0.18,0.22,0.2,0.16,0.24,0.24,0.2,0.18,0.23,0.24,0.17,0.18,0.2,0.23,0.18,0.21,0.19,0.17,0.18,0.18,0.21,0.2,0.17,0.17,0.19,0.19,0.15,0.18,0.19,0.19,0.2,0.18,0.15,0.21,0.2,0.16,0.3,0.17,0.14,0.16,0.16,0.17,0.17,0.23,0.18,0.19,0.14,0.22,0.19,0.14,0.16,0.15,0.17,0.15,0.18,0.17,0.16,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.14,0.15,0.16,0.16,0.15,0.15,0.12,0.13,0.12,0.14,0.14,0.13,0.13,0.15,0.14,0.13,0.17,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.15,0.12,0.14,0.13,0.15,0.14,0.15,0.0,0.12,0.14,0.14,0.14,0.14,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.14,0.0,0.0,0.13,0.14,0.14,0.13,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.14,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.12,0.29,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.84
09/01/2021,1.93,1.26,1.12,1.34,1.11,1.27,1.04,0.74,0.75,0.67,0.63,0.67,0.54,0.55,0.57,0.65,0.54,0.39,0.49,0.47,0.44,0.47,0.44,0.4,0.41,0.41,0.43,0.35,0.35,0.38,0.39,0.38,0.31,0.31,0.36,0.3,0.13,0.26,0.27,0.3,0.31,0.32,0.29,0.3,0.26,0.27,0.28,0.28,0.26,0.29,0.26,0.27,0.28,0.25,0.27,0.29,0.26,0.26,0.25,0.25,0.19,0.25,0.0,0.18,0.24,0.22,0.25,0.0,0.24,0.22,0.24,0.24,0.2,0.21,0.18,0.22,0.2,0.16,0.24,0.24,0.2,0.18,0.23,0.24,0.17,0.18,0.2,0.23,0.18,0.21,0.19,0.17,0.18,0.18,0.21,0.2,0.17,0.17,0.19,0.19,0.15,0.18,0.19,0.19,0.2,0.18,0.15,0.21,0.2,0.16,0.3,0.17,0.14,0.16,0.16,0.17,0.17,0.23,0.18,0.19,0.14,0.22,0.19,0.14,0.16,0.15,0.17,0.15,0.18,0.17,0.16,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.14,0.15,0.16,0.16,0.15,0.15,0.12,0.13,0.12,0.14,0.14,0.13,0.13,0.15,0.14,0.13,0.17,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.15,0.12,0.14,0.13,0.15,0.14,0.15,0.0,0.12,0.14,0.14,0.14,0.14,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.14,0.0,0.0,0.13,0.14,0.14,0.13,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.14,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.12,0.29,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.84
09/02/2021,1.95,1.25,1.13,1.34,1.11,1.28,1.03,0.74,0.74,0.67,0.63,0.66,0.54,0.54,0.57,0.65,0.53,0.39,0.48,0.47,0.43,0.47,0.44,0.4,0.41,0.41,0.43,0.36,0.35,0.37,0.4,0.38,0.31,0.31,0.36,0.3,0.13,0.26,0.27,0.3,0.31,0.32,0.29,0.29,0.25,0.27,0.27,0.28,0.26,0.29,0.26,0.27,0.28,0.25,0.26,0.29,0.26,0.26,0.25,0.24,0.19,0.25,0.0,0.18,0.24,0.22,0.25,0.0,0.24,0.22,0.23,0.24,0.2,0.21,0.18,0.21,0.2,0.0,0.24,0.24,0.2,0.17,0.23,0.24,0.17,0.19,0.2,0.23,0.18,0.21,0.19,0.18,0.18,0.18,0.21,0.2,0.17,0.17,0.18,0.19,0.15,0.18,0.19,0.2,0.2,0.18,0.15,0.21,0.2,0.15,0.3,0.17,0.14,0.16,0.16,0.17,0.17,0.23,0.18,0.19,0.15,0.22,0.19,0.13,0.16,0.15,0.17,0.15,0.18,0.17,0.16,0.16,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.16,0.16,0.15,0.15,0.13,0.13,0.12,0.15,0.14,0.13,0.13,0.15,0.14,0.13,0.17,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.15,0.12,0.14,0.13,0.14,0.14,0.15,0.11,0.0,0.14,0.14,0.14,0.13,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.14,0.0,0.0,0.13,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.13,0.14,0.0,0.0,0.11,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.13,0.12,0.38,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.27,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.75
09/03/2021,1.98,1.29,1.17,1.32,1.15,1.27,1.02,0.74,0.74,0.67,0.62,0.66,0.54,0.53,0.57,0.61,0.52,0.47,0.48,0.48,0.43,0.46,0.42,0.39,0.41,0.4,0.43,0.36,0.35,0.37,0.42,0.38,0.31,0.3,0.35,0.3,0.14,0.26,0.27,0.3,0.31,0.32,0.29,0.3,0.26,0.27,0.27,0.28,0.26,0.29,0.26,0.26,0.3,0.25,0.26,0.29,0.26,0.26,0.25,0.24,0.19,0.25,0.0,0.19,0.23,0.22,0.25,0.0,0.24,0.23,0.23,0.24,0.2,0.22,0.18,0.21,0.2,0.0,0.24,0.24,0.2,0.17,0.23,0.24,0.17,0.2,0.2,0.22,0.18,0.21,0.19,0.18,0.18,0.18,0.2,0.2,0.17,0.17,0.18,0.19,0.16,0.18,0.19,0.19,0.2,0.17,0.16,0.21,0.2,0.15,0.3,0.17,0.15,0.16,0.16,0.17,0.17,0.23,0.18,0.19,0.15,0.22,0.19,0.14,0.16,0.15,0.17,0.14,0.18,0.17,0.16,0.16,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.16,0.17,0.14,0.15,0.16,0.16,0.15,0.15,0.13,0.13,0.12,0.15,0.14,0.13,0.13,0.15,0.14,0.13,0.16,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.15,0.12,0.14,0.14,0.15,0.14,0.15,0.0,0.0,0.14,0.13,0.14,0.13,0.0,0.12,0.12,0.0,0.12,0.11,0.0,0.14,0.0,0.0,0.12,0.14,0.13,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.14,0.0,0.0,0.11,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.26,0.21,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.52000000000001
09/06/2021,1.93,1.32,1.2,1.3,1.12,1.29,1.01,0.76,0.74,0.67,0.62,0.66,0.52,0.52,0.56,0.61,0.52,0.47,0.49,0.48,0.43,0.46,0.43,0.39,0.42,0.41,0.43,0.33,0.34,0.37,0.42,0.37,0.31,0.3,0.35,0.3,0.15,0.25,0.27,0.3,0.31,0.32,0.29,0.3,0.26,0.27,0.27,0.28,0.26,0.29,0.25,0.26,0.31,0.25,0.25,0.29,0.27,0.26,0.25,0.24,0.2,0.25,0.0,0.19,0.24,0.23,0.25,0.0,0.22,0.23,0.23,0.25,0.2,0.22,0.18,0.21,0.2,0.17,0.24,0.24,0.2,0.17,0.23,0.24,0.17,0.19,0.2,0.22,0.18,0.21,0.19,0.18,0.18,0.18,0.21,0.21,0.18,0.17,0.17,0.19,0.16,0.18,0.19,0.2,0.2,0.18,0.16,0.22,0.2,0.15,0.31,0.17,0.14,0.16,0.17,0.18,0.17,0.22,0.18,0.19,0.15,0.22,0.19,0.14,0.16,0.15,0.17,0.15,0.17,0.17,0.16,0.16,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.17,0.14,0.16,0.16,0.16,0.15,0.15,0.13,0.13,0.12,0.14,0.14,0.13,0.13,0.15,0.14,0.13,0.16,0.14,0.12,0.13,0.15,0.13,0.13,0.13,0.15,0.12,0.14,0.13,0.15,0.14,0.15,0.0,0.0,0.13,0.13,0.14,0.13,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.13,0.14,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.14,0.0,0.11,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.26,0.22,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63
09/07/2021,1.97,1.29,1.16,1.3,1.13,1.29,1.0,0.75,0.72,0.68,0.62,0.65,0.52,0.52,0.56,0.61,0.52,0.45,0.49,0.49,0.43,0.47,0.42,0.39,0.41,0.4,0.43,0.33,0.34,0.37,0.43,0.37,0.31,0.3,0.35,0.3,0.15,0.26,0.26,0.3,0.31,0.34,0.29,0.29,0.26,0.27,0.27,0.28,0.26,0.29,0.25,0.26,0.32,0.24,0.25,0.29,0.26,0.25,0.25,0.25,0.2,0.25,0.0,0.19,0.24,0.22,0.25,0.0,0.22,0.24,0.23,0.25,0.2,0.23,0.18,0.21,0.2,0.15,0.24,0.23,0.21,0.16,0.23,0.23,0.17,0.19,0.2,0.22,0.18,0.21,0.19,0.18,0.19,0.18,0.21,0.2,0.17,0.17,0.17,0.19,0.16,0.18,0.19,0.2,0.2,0.17,0.16,0.22,0.2,0.15,0.31,0.17,0.14,0.16,0.17,0.18,0.17,0.22,0.19,0.19,0.16,0.23,0.19,0.14,0.16,0.15,0.17,0.15,0.17,0.17,0.16,0.16,0.18,0.17,0.18,0.16,0.15,0.16,0.16,0.16,0.17,0.14,0.16,0.16,0.16,0.15,0.15,0.13,0.13,0.12,0.14,0.14,0.13,0.13,0.15,0.14,0.13,0.16,0.14,0.12,0.13,0.15,0.13,0.13,0.13,0.15,0.12,0.14,0.13,0.16,0.14,0.15,0.0,0.11,0.13,0.13,0.14,0.13,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.13,0.14,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.14,0.11,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.26,0.21,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,52.51
09/08/2021,1.97,1.29,1.16,1.3,1.13,1.29,1.0,0.75,0.72,0.68,0.62,0.65,0.52,0.52,0.56,0.61,0.52,0.45,0.49,0.49,0.43,0.47,0.42,0.39,0.41,0.4,0.43,0.33,0.34,0.37,0.43,0.37,0.31,0.3,0.35,0.3,0.15,0.26,0.26,0.3,0.31,0.34,0.29,0.29,0.26,0.27,0.27,0.28,0.26,0.29,0.25,0.26,0.32,0.24,0.25,0.29,0.26,0.25,0.25,0.25,0.2,0.25,0.0,0.19,0.24,0.22,0.25,0.0,0.22,0.24,0.23,0.25,0.2,0.23,0.18,0.21,0.2,0.15,0.24,0.23,0.21,0.16,0.23,0.23,0.17,0.19,0.2,0.22,0.18,0.21,0.19,0.18,0.19,0.18,0.21,0.2,0.17,0.17,0.17,0.19,0.16,0.18,0.19,0.2,0.2,0.17,0.16,0.22,0.2,0.15,0.31,0.17,0.14,0.16,0.17,0.18,0.17,0.22,0.19,0.19,0.16,0.23,0.19,0.14,0.16,0.15,0.17,0.15,0.17,0.17,0.16,0.16,0.18,0.17,0.18,0.16,0.15,0.16,0.16,0.16,0.17,0.14,0.16,0.16,0.16,0.15,0.15,0.13,0.13,0.12,0.14,0.14,0.13,0.13,0.15,0.14,0.13,0.16,0.14,0.12,0.13,0.15,0.13,0.13,0.13,0.15,0.12,0.14,0.13,0.16,0.14,0.15,0.0,0.11,0.13,0.13,0.14,0.13,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.13,0.14,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.14,0.11,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.26,0.21,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,52.51
09/09/2021,2.01,1.33,1.17,1.3,1.14,1.32,1.0,0.76,0.72,0.69,0.62,0.66,0.52,0.53,0.57,0.61,0.52,0.46,0.49,0.49,0.43,0.48,0.42,0.39,0.41,0.4,0.43,0.33,0.34,0.37,0.44,0.37,0.3,0.3,0.35,0.3,0.15,0.26,0.26,0.3,0.31,0.34,0.29,0.29,0.26,0.27,0.27,0.27,0.26,0.29,0.25,0.26,0.32,0.24,0.25,0.29,0.26,0.26,0.25,0.25,0.2,0.25,0.0,0.19,0.24,0.22,0.25,0.0,0.22,0.24,0.23,0.25,0.2,0.23,0.18,0.21,0.2,0.15,0.24,0.23,0.21,0.17,0.23,0.24,0.16,0.2,0.2,0.22,0.18,0.21,0.19,0.18,0.19,0.18,0.21,0.21,0.17,0.17,0.17,0.19,0.16,0.19,0.18,0.2,0.2,0.17,0.16,0.21,0.2,0.15,0.31,0.17,0.14,0.16,0.17,0.18,0.17,0.22,0.19,0.19,0.16,0.23,0.19,0.14,0.16,0.16,0.16,0.15,0.17,0.17,0.16,0.16,0.18,0.17,0.18,0.16,0.15,0.16,0.15,0.15,0.17,0.14,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.12,0.15,0.14,0.13,0.13,0.14,0.14,0.13,0.16,0.14,0.12,0.13,0.15,0.13,0.13,0.13,0.15,0.12,0.14,0.13,0.16,0.14,0.15,0.0,0.0,0.13,0.12,0.14,0.13,0.0,0.12,0.12,0.0,0.12,0.12,0.0,0.13,0.0,0.0,0.13,0.14,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.14,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.26,0.21,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,52.720000000000006
09/10/2021,1.98,1.36,1.19,1.29,1.12,1.29,0.99,0.76,0.71,0.69,0.61,0.64,0.52,0.53,0.56,0.61,0.52,0.48,0.49,0.49,0.42,0.47,0.42,0.38,0.41,0.4,0.42,0.33,0.34,0.37,0.46,0.38,0.3,0.3,0.35,0.29,0.15,0.28,0.26,0.29,0.3,0.34,0.29,0.29,0.26,0.26,0.26,0.27,0.26,0.29,0.25,0.26,0.31,0.24,0.25,0.3,0.26,0.26,0.25,0.25,0.2,0.25,0.0,0.19,0.23,0.22,0.26,0.0,0.22,0.24,0.23,0.25,0.2,0.23,0.18,0.21,0.2,0.16,0.24,0.23,0.21,0.17,0.22,0.23,0.16,0.2,0.2,0.22,0.18,0.21,0.19,0.18,0.19,0.17,0.21,0.21,0.17,0.17,0.17,0.19,0.17,0.19,0.18,0.2,0.2,0.17,0.16,0.22,0.2,0.15,0.31,0.17,0.14,0.16,0.17,0.19,0.17,0.22,0.19,0.19,0.16,0.24,0.19,0.14,0.16,0.16,0.16,0.15,0.17,0.17,0.16,0.16,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.17,0.14,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.12,0.15,0.15,0.13,0.13,0.14,0.14,0.13,0.16,0.14,0.12,0.13,0.15,0.13,0.13,0.13,0.15,0.12,0.14,0.13,0.16,0.14,0.15,0.0,0.11,0.13,0.12,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.13,0.11,0.0,0.14,0.14,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.12,0.12,0.13,0.13,0.11,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.26,0.22,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.61000000000001
09/13/2021,1.98,1.28,1.14,1.3,1.11,1.29,0.96,0.78,0.7,0.69,0.61,0.63,0.53,0.53,0.55,0.61,0.52,0.46,0.49,0.5,0.43,0.47,0.4,0.38,0.41,0.4,0.43,0.32,0.34,0.36,0.46,0.38,0.3,0.3,0.35,0.29,0.14,0.3,0.25,0.29,0.31,0.34,0.29,0.29,0.26,0.26,0.27,0.27,0.25,0.29,0.25,0.26,0.31,0.24,0.25,0.3,0.26,0.26,0.25,0.26,0.2,0.24,0.0,0.18,0.24,0.23,0.26,0.0,0.22,0.25,0.23,0.25,0.2,0.23,0.18,0.21,0.19,0.16,0.24,0.23,0.21,0.16,0.22,0.24,0.16,0.2,0.2,0.22,0.18,0.21,0.2,0.18,0.19,0.17,0.21,0.21,0.17,0.16,0.17,0.19,0.17,0.2,0.19,0.2,0.2,0.17,0.16,0.22,0.19,0.15,0.3,0.18,0.14,0.16,0.17,0.19,0.17,0.22,0.19,0.19,0.16,0.24,0.18,0.14,0.16,0.16,0.16,0.15,0.17,0.17,0.16,0.16,0.18,0.17,0.15,0.17,0.15,0.16,0.15,0.15,0.17,0.14,0.16,0.16,0.16,0.12,0.15,0.14,0.13,0.12,0.15,0.15,0.13,0.13,0.15,0.14,0.13,0.16,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.15,0.12,0.15,0.13,0.16,0.14,0.15,0.0,0.0,0.13,0.12,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.13,0.11,0.0,0.14,0.14,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.14,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.26,0.22,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.470000000000006
09/14/2021,1.99,1.3,1.18,1.3,1.11,1.31,0.95,0.78,0.68,0.69,0.6,0.63,0.52,0.54,0.55,0.61,0.52,0.48,0.49,0.51,0.42,0.48,0.39,0.38,0.41,0.39,0.43,0.32,0.34,0.36,0.47,0.37,0.3,0.3,0.35,0.29,0.14,0.3,0.25,0.29,0.3,0.34,0.29,0.29,0.26,0.26,0.27,0.26,0.25,0.28,0.25,0.26,0.3,0.24,0.25,0.31,0.26,0.26,0.25,0.26,0.2,0.24,0.0,0.18,0.24,0.23,0.26,0.0,0.22,0.27,0.23,0.25,0.2,0.24,0.18,0.21,0.19,0.16,0.24,0.23,0.21,0.16,0.22,0.23,0.16,0.2,0.19,0.22,0.18,0.21,0.19,0.18,0.19,0.18,0.21,0.21,0.18,0.16,0.17,0.19,0.16,0.2,0.19,0.2,0.19,0.17,0.16,0.22,0.19,0.15,0.29,0.18,0.13,0.16,0.17,0.19,0.17,0.22,0.19,0.18,0.16,0.24,0.18,0.14,0.16,0.15,0.16,0.15,0.17,0.17,0.15,0.16,0.18,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.17,0.14,0.16,0.16,0.16,0.12,0.15,0.14,0.12,0.12,0.15,0.15,0.13,0.13,0.15,0.14,0.13,0.16,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.15,0.12,0.15,0.13,0.16,0.15,0.15,0.0,0.0,0.13,0.12,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.13,0.0,0.0,0.14,0.14,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.14,0.0,0.0,0.0,0.12,0.0,0.11,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.25,0.22,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.42999999999999
