,KR,HRL,CLX,K,DPZ,KMB,WMT,VZ,LLY,SJM,GIS,HSY,PFE,CL,CARR,KDP,PG,OTIS,BMY,BDX,COST,PM,CHD,JNJ,GILD,NOC,DG,CHTR,EXPD,YUMC,ED,ABBV,WORK,CAG,MRNA,CVS,LBRDA,BAX,TGT,BRK.B,T,LUMN,TSN,LHX,MDLZ,EA,MMM,DUK,ORLY,RMD,ORCL,MO,EBAY,RSG,PGR,WEC,D,STX,AZO,ROP,MRK,DHR,FE,PEP,NET,AKAM,NEM,KSU,LMT,ZM,CMS,EFX,DGX,LNT,REGN,AEP,BIIB,KHC,MKC,PTON,AEE,WM,EVRG,TTWO,INFO,ALXN,UPS,HUM,IEX,GWW,PCAR,MCD,KO,GD,VRSN,WST,AMGN,BMRN,JCI,ATVI,WAT,ALL,DISCA,CME,JBHT,MMC,CMCSA,NKE,BF.B,CERN,CRWD,ARES,PKG,COO,CNC,UNH,AJG,XEL,ADM,EW,NFLX,IBM,TSCO,TMUS,TW,ABC,EIX,SO,AWK,ZTS,STE,BR,ITW,UNP,ALNY,EL,CTXS,ICE,SRE,J,CMI,APD,PKI,YNDX,PPL,LH,DIS,FOXA,HZNP,IFF,ABT,MDT,BLK,NDAQ,CPRT,A,TEAM,ADP,SGEN,KEYS,ES,AMZN,LDOS,ODFL,POOL,AON,YUM,SHW,MOH,SPOT,CSCO,PEG,VRTX,ZS,PANW,STZ,ILMN,DDOG,TYL,GRMN,MSI,NUAN,MCO,SPGI,WBA,BIO,TMO,INCY,FAST,HD,IDXX,FFIV,NEE,FB,IBKR,CHWY,DLTR,DTE,TDOC,AVTR,VRSK,TECH,FIS,BLL,FTNT,ETR,AMC,VIAC,LNG,WMG,RNG,NLOK,BK,GS,CAT,CB,FRC,GDDY,RPRX,ELAN,RACE.MI,AAP,HIG,KMI,ICLR,VMC,HOLX,EXAS,BX,TRV,SBUX,CMG,OMC,WLTW,CINF,NSC,BSX,ABMD,ANTM,GPC,CSX,MTD,CNP,FTV,MNST,DOV,CTSH,MKTX,MKL,VTRS,CRM,MCK,MSCI,EXC,MAS,AMCR,GOOGL,AGPXX,PAYX,CBOE,WMB,ROK,MASI,FDS,IP,BRO,LOW,PPG,FISV,SSNC,VMW,NVR,CSGP,EPAM,LULU,ADBE,VEEV,TT,MSFT,SUM
09/23/2021,0.75,0.0,0.74,0.59,0.86,0.67,0.56,0.71,0.49,0.0,0.49,0.48,0.67,0.51,0.0,0.44,0.55,0.42,0.41,0.6,0.55,0.54,0.49,0.48,0.51,0.44,0.43,0.44,0.34,0.39,0.53,0.43,0.0,0.42,0.0,0.46,0.42,0.62,0.46,0.42,0.69,0.43,0.49,0.39,0.41,0.38,0.41,0.52,0.47,0.43,0.42,0.43,0.36,0.44,0.39,0.46,0.5,0.37,0.45,0.0,0.51,0.47,0.65,0.44,0.0,0.0,0.0,0.4,0.37,0.0,0.47,0.34,0.75,0.47,0.36,0.55,0.0,0.33,0.37,0.0,0.48,0.42,0.54,0.36,0.38,0.0,0.0,0.35,0.33,0.0,0.0,0.48,0.44,0.39,0.38,0.41,0.33,0.0,0.37,0.0,0.48,0.43,0.47,0.37,0.41,0.45,0.33,0.42,0.0,0.38,0.0,0.46,0.0,0.44,0.0,0.37,0.43,0.38,0.42,0.38,0.39,0.34,0.37,0.0,0.0,0.38,0.42,0.48,0.44,0.39,0.41,0.0,0.33,0.0,0.38,0.36,0.34,0.37,0.38,0.0,0.35,0.0,0.4,0.0,0.43,0.56,0.43,0.37,0.0,0.0,0.42,0.38,0.0,0.35,0.35,0.37,0.7,0.38,0.34,0.41,0.4,0.0,0.0,0.37,0.0,0.5,0.46,0.4,0.0,0.0,0.34,0.4,0.35,0.53,0.0,0.0,0.0,0.0,0.0,0.36,0.35,0.0,0.35,0.37,0.37,0.37,0.4,0.0,0.0,0.37,0.0,0.0,0.38,0.0,0.0,0.36,0.36,0.47,0.0,0.39,0.36,0.0,0.0,0.41,0.0,0.4,0.62,0.48,0.52,0.53,0.37,0.44,0.43,0.43,0.38,0.44,0.4,0.33,0.35,0.35,0.4,0.37,0.42,0.33,0.49,0.37,0.41,0.33,0.49,0.37,0.35,0.43,0.33,0.37,0.34,0.33,0.35,0.38,0.32,0.33,0.33,0.36,0.33,0.35,0.35,0.35,0.37,0.0,0.33,0.0,0.0,0.34,0.37,0.35,0.0,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.43
09/24/2021,0.76,0.0,0.74,0.59,0.85,0.68,0.56,0.72,0.5,0.0,0.49,0.48,0.68,0.52,0.0,0.43,0.55,0.4,0.41,0.6,0.55,0.53,0.51,0.48,0.52,0.44,0.43,0.44,0.33,0.39,0.54,0.44,0.0,0.42,0.0,0.46,0.42,0.62,0.46,0.42,0.69,0.43,0.5,0.4,0.41,0.36,0.41,0.52,0.48,0.44,0.42,0.44,0.36,0.45,0.4,0.47,0.51,0.36,0.47,0.0,0.52,0.49,0.65,0.44,0.0,0.0,0.0,0.39,0.38,0.0,0.47,0.33,0.76,0.47,0.37,0.54,0.0,0.33,0.37,0.0,0.48,0.43,0.54,0.35,0.38,0.0,0.0,0.35,0.33,0.0,0.0,0.49,0.43,0.39,0.37,0.41,0.33,0.0,0.36,0.0,0.48,0.44,0.44,0.37,0.42,0.45,0.33,0.42,0.0,0.39,0.0,0.45,0.0,0.43,0.32,0.37,0.44,0.38,0.4,0.38,0.39,0.34,0.38,0.0,0.0,0.38,0.43,0.48,0.44,0.39,0.41,0.0,0.33,0.0,0.38,0.36,0.34,0.37,0.38,0.0,0.35,0.0,0.41,0.0,0.42,0.57,0.41,0.38,0.0,0.0,0.42,0.38,0.0,0.35,0.33,0.38,0.72,0.38,0.37,0.4,0.41,0.0,0.0,0.39,0.0,0.5,0.46,0.39,0.0,0.0,0.34,0.4,0.36,0.54,0.0,0.0,0.0,0.0,0.0,0.37,0.35,0.0,0.34,0.37,0.36,0.38,0.43,0.0,0.0,0.37,0.0,0.0,0.38,0.0,0.0,0.37,0.35,0.47,0.0,0.39,0.37,0.0,0.0,0.42,0.0,0.4,0.54,0.46,0.51,0.6,0.37,0.43,0.42,0.41,0.36,0.44,0.39,0.0,0.34,0.35,0.4,0.37,0.41,0.32,0.5,0.37,0.42,0.34,0.47,0.37,0.35,0.43,0.32,0.36,0.33,0.32,0.35,0.37,0.33,0.32,0.32,0.37,0.34,0.35,0.34,0.35,0.36,0.0,0.33,0.0,0.0,0.33,0.37,0.34,0.0,0.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.44
09/27/2021,0.75,0.0,0.73,0.59,0.84,0.67,0.56,0.72,0.49,0.0,0.5,0.47,0.67,0.51,0.0,0.43,0.55,0.41,0.41,0.58,0.54,0.53,0.5,0.48,0.51,0.45,0.43,0.43,0.34,0.4,0.53,0.43,0.0,0.42,0.0,0.46,0.42,0.61,0.46,0.42,0.69,0.43,0.5,0.39,0.41,0.36,0.41,0.51,0.49,0.42,0.43,0.44,0.36,0.45,0.39,0.46,0.5,0.37,0.48,0.0,0.52,0.48,0.64,0.44,0.0,0.0,0.0,0.39,0.38,0.0,0.46,0.33,0.75,0.46,0.36,0.53,0.0,0.33,0.37,0.0,0.48,0.43,0.53,0.35,0.38,0.0,0.0,0.35,0.33,0.0,0.0,0.49,0.43,0.39,0.37,0.42,0.33,0.0,0.36,0.0,0.48,0.43,0.45,0.39,0.42,0.45,0.33,0.42,0.0,0.38,0.0,0.45,0.0,0.44,0.0,0.36,0.44,0.37,0.4,0.38,0.4,0.34,0.38,0.0,0.0,0.38,0.42,0.47,0.43,0.39,0.42,0.0,0.34,0.32,0.38,0.37,0.35,0.37,0.37,0.0,0.36,0.0,0.4,0.0,0.42,0.57,0.42,0.39,0.0,0.0,0.41,0.39,0.0,0.35,0.34,0.37,0.72,0.39,0.37,0.41,0.4,0.0,0.0,0.38,0.0,0.51,0.45,0.39,0.0,0.0,0.34,0.39,0.35,0.55,0.0,0.0,0.0,0.0,0.0,0.38,0.35,0.0,0.35,0.37,0.36,0.38,0.44,0.0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.36,0.35,0.46,0.0,0.4,0.37,0.0,0.0,0.42,0.0,0.37,0.55,0.48,0.54,0.58,0.37,0.44,0.44,0.43,0.37,0.44,0.39,0.32,0.34,0.36,0.4,0.38,0.42,0.34,0.51,0.38,0.42,0.0,0.46,0.37,0.35,0.44,0.33,0.37,0.34,0.32,0.36,0.38,0.33,0.33,0.32,0.37,0.33,0.35,0.34,0.36,0.37,0.0,0.33,0.0,0.0,0.33,0.37,0.34,0.0,0.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.44
09/28/2021,0.75,0.0,0.73,0.59,0.84,0.67,0.56,0.72,0.49,0.0,0.5,0.47,0.67,0.51,0.0,0.43,0.55,0.41,0.41,0.58,0.54,0.53,0.5,0.48,0.51,0.45,0.43,0.43,0.34,0.4,0.53,0.43,0.0,0.42,0.0,0.46,0.42,0.61,0.46,0.42,0.69,0.43,0.5,0.39,0.41,0.36,0.41,0.51,0.49,0.42,0.43,0.44,0.36,0.45,0.39,0.46,0.5,0.37,0.48,0.0,0.52,0.48,0.64,0.44,0.0,0.0,0.0,0.39,0.38,0.0,0.46,0.33,0.75,0.46,0.36,0.53,0.0,0.33,0.37,0.0,0.48,0.43,0.53,0.35,0.38,0.0,0.0,0.35,0.33,0.0,0.0,0.49,0.43,0.39,0.37,0.42,0.33,0.0,0.36,0.0,0.48,0.43,0.45,0.39,0.42,0.45,0.33,0.42,0.0,0.38,0.0,0.45,0.0,0.44,0.0,0.36,0.44,0.37,0.4,0.38,0.4,0.34,0.38,0.0,0.0,0.38,0.42,0.47,0.43,0.39,0.42,0.0,0.34,0.32,0.38,0.37,0.35,0.37,0.37,0.0,0.36,0.0,0.4,0.0,0.42,0.57,0.42,0.39,0.0,0.0,0.41,0.39,0.0,0.35,0.34,0.37,0.72,0.39,0.37,0.41,0.4,0.0,0.0,0.38,0.0,0.51,0.45,0.39,0.0,0.0,0.34,0.39,0.35,0.55,0.0,0.0,0.0,0.0,0.0,0.38,0.35,0.0,0.35,0.37,0.36,0.38,0.44,0.0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.36,0.35,0.46,0.0,0.4,0.37,0.0,0.0,0.42,0.0,0.37,0.55,0.48,0.54,0.58,0.37,0.44,0.44,0.43,0.37,0.44,0.39,0.32,0.34,0.36,0.4,0.38,0.42,0.34,0.51,0.38,0.42,0.0,0.46,0.37,0.35,0.44,0.33,0.37,0.34,0.32,0.36,0.38,0.33,0.33,0.32,0.37,0.33,0.35,0.34,0.36,0.37,0.0,0.33,0.0,0.0,0.33,0.37,0.34,0.0,0.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.44
09/29/2021,0.74,0.0,0.74,0.6,0.83,0.67,0.56,0.72,0.49,0.0,0.51,0.48,0.67,0.51,0.0,0.43,0.55,0.41,0.4,0.58,0.56,0.54,0.5,0.48,0.51,0.45,0.42,0.43,0.34,0.41,0.53,0.43,0.0,0.42,0.0,0.46,0.42,0.61,0.45,0.42,0.68,0.44,0.5,0.4,0.41,0.37,0.41,0.51,0.49,0.42,0.43,0.43,0.36,0.45,0.39,0.46,0.5,0.37,0.48,0.0,0.53,0.48,0.64,0.44,0.0,0.0,0.0,0.39,0.39,0.0,0.46,0.33,0.75,0.46,0.36,0.53,0.0,0.33,0.37,0.0,0.48,0.43,0.53,0.35,0.38,0.0,0.0,0.35,0.33,0.0,0.0,0.5,0.43,0.39,0.37,0.42,0.32,0.0,0.36,0.0,0.47,0.43,0.44,0.39,0.42,0.45,0.33,0.4,0.0,0.38,0.0,0.45,0.0,0.44,0.0,0.36,0.45,0.37,0.4,0.38,0.4,0.35,0.38,0.0,0.0,0.38,0.42,0.47,0.43,0.39,0.42,0.32,0.33,0.32,0.38,0.36,0.34,0.37,0.37,0.0,0.35,0.0,0.4,0.0,0.42,0.57,0.42,0.4,0.0,0.0,0.41,0.38,0.0,0.36,0.34,0.37,0.73,0.39,0.36,0.41,0.4,0.0,0.0,0.39,0.0,0.51,0.45,0.39,0.0,0.0,0.34,0.39,0.35,0.55,0.0,0.0,0.0,0.0,0.0,0.38,0.35,0.0,0.35,0.37,0.36,0.38,0.44,0.0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.34,0.34,0.46,0.0,0.4,0.37,0.0,0.0,0.42,0.0,0.37,0.55,0.47,0.55,0.58,0.36,0.44,0.44,0.43,0.37,0.44,0.4,0.0,0.34,0.36,0.4,0.39,0.42,0.34,0.52,0.38,0.41,0.0,0.45,0.37,0.35,0.43,0.34,0.37,0.34,0.33,0.35,0.38,0.33,0.33,0.33,0.37,0.34,0.35,0.34,0.35,0.38,0.0,0.34,0.0,0.0,0.33,0.37,0.34,0.0,0.32,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.47
09/30/2021,0.74,0.0,0.74,0.6,0.83,0.67,0.56,0.72,0.49,0.0,0.51,0.48,0.67,0.51,0.0,0.43,0.55,0.41,0.4,0.58,0.56,0.54,0.5,0.48,0.51,0.45,0.42,0.43,0.34,0.41,0.53,0.43,0.0,0.42,0.0,0.46,0.42,0.61,0.45,0.42,0.68,0.44,0.5,0.4,0.41,0.37,0.41,0.51,0.49,0.42,0.43,0.43,0.36,0.45,0.39,0.46,0.5,0.37,0.48,0.0,0.53,0.48,0.64,0.44,0.0,0.0,0.0,0.39,0.39,0.0,0.46,0.33,0.75,0.46,0.36,0.53,0.0,0.33,0.37,0.0,0.48,0.43,0.53,0.35,0.38,0.0,0.0,0.35,0.33,0.0,0.0,0.5,0.43,0.39,0.37,0.42,0.32,0.0,0.36,0.0,0.47,0.43,0.44,0.39,0.42,0.45,0.33,0.4,0.0,0.38,0.0,0.45,0.0,0.44,0.0,0.36,0.45,0.37,0.4,0.38,0.4,0.35,0.38,0.0,0.0,0.38,0.42,0.47,0.43,0.39,0.42,0.32,0.33,0.32,0.38,0.36,0.34,0.37,0.37,0.0,0.35,0.0,0.4,0.0,0.42,0.57,0.42,0.4,0.0,0.0,0.41,0.38,0.0,0.36,0.34,0.37,0.73,0.39,0.36,0.41,0.4,0.0,0.0,0.39,0.0,0.51,0.45,0.39,0.0,0.0,0.34,0.39,0.35,0.55,0.0,0.0,0.0,0.0,0.0,0.38,0.35,0.0,0.35,0.37,0.36,0.38,0.44,0.0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.34,0.34,0.46,0.0,0.4,0.37,0.0,0.0,0.42,0.0,0.37,0.55,0.47,0.55,0.58,0.36,0.44,0.44,0.43,0.37,0.44,0.4,0.0,0.34,0.36,0.4,0.39,0.42,0.34,0.52,0.38,0.41,0.0,0.45,0.37,0.35,0.43,0.34,0.37,0.34,0.33,0.35,0.38,0.33,0.33,0.33,0.37,0.34,0.35,0.34,0.35,0.38,0.0,0.34,0.0,0.0,0.33,0.37,0.34,0.0,0.32,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.47
10/01/2021,0.77,0.0,0.76,0.61,0.84,0.68,0.56,0.73,0.48,0.0,0.51,0.47,0.67,0.52,0.0,0.44,0.55,0.41,0.41,0.59,0.54,0.53,0.51,0.48,0.51,0.47,0.43,0.43,0.34,0.43,0.54,0.44,0.0,0.43,0.0,0.47,0.42,0.62,0.45,0.43,0.7,0.45,0.52,0.4,0.4,0.39,0.41,0.51,0.49,0.41,0.44,0.44,0.36,0.44,0.39,0.45,0.5,0.37,0.49,0.0,0.53,0.46,0.65,0.44,0.0,0.0,0.0,0.4,0.4,0.0,0.45,0.33,0.73,0.46,0.35,0.54,0.0,0.34,0.37,0.0,0.48,0.42,0.54,0.36,0.36,0.0,0.0,0.35,0.0,0.0,0.0,0.5,0.43,0.4,0.36,0.4,0.33,0.0,0.35,0.0,0.45,0.43,0.46,0.4,0.43,0.45,0.0,0.39,0.0,0.38,0.0,0.43,0.0,0.43,0.33,0.36,0.45,0.37,0.41,0.37,0.4,0.35,0.38,0.0,0.0,0.39,0.43,0.47,0.42,0.38,0.41,0.0,0.34,0.33,0.37,0.36,0.34,0.37,0.36,0.0,0.36,0.0,0.38,0.0,0.43,0.55,0.42,0.41,0.0,0.0,0.4,0.38,0.0,0.35,0.33,0.35,0.68,0.39,0.37,0.39,0.4,0.0,0.33,0.38,0.0,0.51,0.45,0.38,0.0,0.0,0.34,0.4,0.35,0.52,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.33,0.36,0.37,0.37,0.42,0.0,0.0,0.38,0.0,0.0,0.36,0.0,0.0,0.35,0.36,0.46,0.0,0.37,0.37,0.0,0.0,0.41,0.0,0.37,0.52,0.49,0.57,0.56,0.36,0.45,0.46,0.43,0.38,0.44,0.4,0.0,0.35,0.36,0.39,0.39,0.43,0.35,0.49,0.39,0.4,0.0,0.44,0.37,0.35,0.42,0.34,0.37,0.34,0.33,0.35,0.36,0.34,0.33,0.33,0.34,0.34,0.35,0.34,0.35,0.38,0.0,0.34,0.33,0.0,0.34,0.35,0.34,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37
10/04/2021,0.78,0.0,0.76,0.62,0.83,0.69,0.55,0.73,0.5,0.0,0.52,0.48,0.67,0.52,0.0,0.44,0.55,0.4,0.41,0.59,0.55,0.53,0.51,0.48,0.52,0.47,0.43,0.43,0.34,0.42,0.54,0.45,0.0,0.44,0.0,0.48,0.42,0.63,0.45,0.43,0.7,0.45,0.53,0.4,0.4,0.4,0.41,0.52,0.5,0.4,0.44,0.44,0.35,0.44,0.4,0.46,0.51,0.37,0.5,0.0,0.54,0.46,0.64,0.44,0.0,0.0,0.0,0.4,0.39,0.0,0.46,0.0,0.73,0.47,0.34,0.54,0.0,0.35,0.37,0.0,0.48,0.43,0.54,0.37,0.36,0.0,0.0,0.35,0.33,0.0,0.0,0.5,0.43,0.4,0.35,0.4,0.33,0.0,0.35,0.0,0.45,0.44,0.45,0.4,0.42,0.45,0.33,0.39,0.0,0.38,0.0,0.43,0.0,0.43,0.0,0.36,0.45,0.37,0.41,0.36,0.41,0.36,0.38,0.0,0.0,0.39,0.42,0.47,0.42,0.38,0.4,0.33,0.33,0.33,0.37,0.35,0.34,0.37,0.37,0.0,0.36,0.0,0.39,0.0,0.43,0.56,0.42,0.41,0.0,0.0,0.4,0.38,0.0,0.36,0.33,0.35,0.69,0.39,0.37,0.39,0.4,0.0,0.33,0.38,0.0,0.51,0.45,0.38,0.0,0.0,0.34,0.4,0.35,0.51,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.33,0.35,0.37,0.36,0.42,0.0,0.0,0.38,0.0,0.0,0.36,0.0,0.0,0.34,0.42,0.47,0.0,0.37,0.37,0.0,0.0,0.41,0.0,0.37,0.49,0.48,0.57,0.55,0.35,0.44,0.45,0.43,0.37,0.44,0.4,0.0,0.34,0.36,0.39,0.39,0.44,0.35,0.49,0.38,0.41,0.0,0.44,0.37,0.35,0.42,0.33,0.37,0.34,0.33,0.35,0.36,0.34,0.33,0.33,0.34,0.34,0.35,0.33,0.35,0.37,0.0,0.34,0.33,0.0,0.34,0.35,0.34,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.46000000000001
10/05/2021,0.77,0.0,0.76,0.61,0.83,0.68,0.56,0.73,0.5,0.0,0.51,0.48,0.67,0.52,0.0,0.44,0.55,0.4,0.41,0.58,0.55,0.51,0.51,0.48,0.51,0.47,0.42,0.43,0.33,0.43,0.54,0.45,0.0,0.44,0.0,0.47,0.42,0.62,0.44,0.42,0.7,0.43,0.53,0.4,0.4,0.41,0.41,0.52,0.49,0.41,0.43,0.42,0.35,0.44,0.4,0.46,0.5,0.37,0.5,0.0,0.55,0.46,0.64,0.44,0.0,0.0,0.0,0.4,0.39,0.0,0.46,0.33,0.73,0.47,0.35,0.54,0.0,0.35,0.36,0.0,0.48,0.43,0.54,0.38,0.37,0.0,0.0,0.35,0.0,0.0,0.0,0.5,0.43,0.4,0.36,0.4,0.33,0.0,0.34,0.0,0.44,0.43,0.45,0.4,0.42,0.44,0.33,0.4,0.0,0.38,0.0,0.44,0.0,0.42,0.0,0.36,0.44,0.38,0.41,0.37,0.42,0.36,0.37,0.0,0.0,0.38,0.42,0.47,0.42,0.38,0.4,0.33,0.33,0.0,0.39,0.35,0.34,0.37,0.37,0.0,0.36,0.0,0.39,0.0,0.42,0.55,0.41,0.42,0.0,0.0,0.4,0.38,0.0,0.36,0.33,0.35,0.7,0.4,0.39,0.39,0.4,0.0,0.33,0.38,0.0,0.5,0.45,0.38,0.0,0.0,0.34,0.41,0.35,0.53,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.33,0.36,0.36,0.37,0.42,0.0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.34,0.4,0.47,0.0,0.38,0.37,0.0,0.0,0.42,0.0,0.37,0.53,0.48,0.58,0.58,0.37,0.44,0.45,0.42,0.37,0.44,0.4,0.0,0.34,0.36,0.39,0.38,0.43,0.35,0.49,0.37,0.41,0.0,0.43,0.37,0.35,0.42,0.33,0.38,0.34,0.33,0.35,0.36,0.33,0.33,0.33,0.33,0.34,0.35,0.34,0.35,0.37,0.0,0.34,0.32,0.0,0.34,0.35,0.34,0.0,0.33,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.44
10/06/2021,0.74,0.0,0.75,0.61,0.82,0.67,0.54,0.73,0.5,0.0,0.52,0.48,0.67,0.52,0.0,0.43,0.54,0.4,0.41,0.57,0.55,0.52,0.5,0.48,0.5,0.47,0.42,0.44,0.0,0.43,0.53,0.45,0.0,0.43,0.0,0.47,0.43,0.62,0.44,0.43,0.7,0.44,0.52,0.4,0.4,0.42,0.41,0.52,0.48,0.4,0.44,0.42,0.35,0.44,0.4,0.45,0.5,0.38,0.49,0.0,0.59,0.46,0.64,0.44,0.0,0.0,0.0,0.4,0.39,0.0,0.46,0.33,0.72,0.46,0.0,0.54,0.0,0.34,0.36,0.0,0.47,0.42,0.53,0.39,0.37,0.0,0.0,0.35,0.0,0.0,0.0,0.5,0.43,0.4,0.36,0.39,0.33,0.0,0.35,0.0,0.44,0.43,0.46,0.4,0.42,0.45,0.34,0.4,0.0,0.37,0.0,0.44,0.0,0.43,0.0,0.36,0.45,0.38,0.41,0.36,0.42,0.37,0.37,0.0,0.0,0.38,0.41,0.47,0.42,0.39,0.4,0.0,0.0,0.33,0.4,0.36,0.35,0.37,0.37,0.0,0.36,0.0,0.38,0.0,0.42,0.54,0.43,0.42,0.0,0.0,0.4,0.38,0.0,0.36,0.33,0.34,0.7,0.4,0.39,0.39,0.4,0.0,0.33,0.37,0.0,0.51,0.46,0.39,0.0,0.0,0.34,0.4,0.35,0.53,0.0,0.33,0.0,0.0,0.0,0.35,0.35,0.0,0.34,0.36,0.36,0.36,0.42,0.0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.34,0.41,0.46,0.0,0.38,0.36,0.0,0.0,0.41,0.0,0.37,0.54,0.48,0.58,0.6,0.38,0.45,0.46,0.42,0.37,0.44,0.41,0.33,0.34,0.36,0.39,0.38,0.43,0.35,0.49,0.38,0.4,0.0,0.43,0.37,0.35,0.42,0.34,0.39,0.34,0.33,0.35,0.35,0.33,0.33,0.33,0.33,0.34,0.35,0.34,0.35,0.37,0.0,0.34,0.0,0.0,0.34,0.35,0.34,0.0,0.33,0.33,0.38,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.46000000000001
10/07/2021,0.76,0.0,0.75,0.62,0.82,0.68,0.54,0.74,0.49,0.0,0.53,0.48,0.66,0.52,0.0,0.43,0.55,0.4,0.41,0.57,0.54,0.52,0.5,0.48,0.5,0.48,0.41,0.44,0.0,0.42,0.55,0.45,0.0,0.44,0.0,0.47,0.44,0.62,0.44,0.43,0.71,0.45,0.52,0.4,0.4,0.42,0.41,0.54,0.48,0.39,0.44,0.43,0.35,0.44,0.4,0.47,0.51,0.38,0.48,0.0,0.61,0.45,0.65,0.44,0.0,0.0,0.0,0.41,0.39,0.0,0.47,0.33,0.71,0.47,0.0,0.55,0.0,0.35,0.36,0.0,0.48,0.42,0.54,0.39,0.36,0.0,0.0,0.35,0.0,0.0,0.0,0.5,0.43,0.41,0.36,0.38,0.33,0.0,0.35,0.0,0.43,0.43,0.46,0.4,0.41,0.44,0.34,0.4,0.0,0.38,0.0,0.44,0.0,0.42,0.32,0.35,0.45,0.39,0.42,0.34,0.42,0.37,0.36,0.0,0.0,0.38,0.42,0.48,0.42,0.38,0.4,0.0,0.33,0.34,0.41,0.36,0.34,0.37,0.37,0.0,0.36,0.0,0.38,0.0,0.43,0.54,0.42,0.43,0.0,0.0,0.39,0.38,0.0,0.35,0.33,0.34,0.69,0.4,0.39,0.38,0.42,0.0,0.33,0.37,0.0,0.5,0.46,0.39,0.0,0.0,0.34,0.41,0.35,0.51,0.0,0.33,0.0,0.0,0.0,0.35,0.35,0.0,0.33,0.35,0.36,0.36,0.42,0.0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.41,0.47,0.0,0.37,0.36,0.0,0.0,0.42,0.0,0.38,0.52,0.48,0.61,0.6,0.36,0.44,0.46,0.42,0.37,0.44,0.41,0.0,0.33,0.36,0.39,0.38,0.43,0.35,0.48,0.38,0.39,0.0,0.41,0.37,0.35,0.42,0.34,0.38,0.34,0.34,0.35,0.35,0.33,0.33,0.34,0.33,0.35,0.35,0.33,0.35,0.37,0.0,0.34,0.0,0.0,0.34,0.34,0.34,0.0,0.33,0.32,0.39,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.51000000000002
