,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,JPM,TSLA,JNJ,UNH,NVDA,V,HD,PG,BAC,DIS,MA,PYPL,CMCSA,XOM,ADBE,INTC,VZ,CSCO,PFE,NFLX,KO,T,CRM,PEP,ABT,CVX,ABBV,WMT,MRK,AVGO,TMO,ACN,WFC,TXN,MCD,MDT,NKE,LLY,COST,C,HON,DHR,LIN,UPS,QCOM,UNP,PM,BMY,ORCL,NEE,LOW,AMGN,SBUX,BA,CAT,BLK,IBM,MS,AMAT,RTX,GS,GE,AMT,MMM,TGT,CVS,INTU,AXP,DE,SCHW,ANTM,CHTR,ISRG,BKNG,AMD,LMT,MU,LRCX,FIS,NOW,MO,SPGI,CI,MDLZ,SYK,PLD,ADP,ZTS,TFC,GILD,SQ,PNC,USB,TJX,CCI,CME,TMUS,FDX,CSX,CB,COP,ATVI,GM,DUK,COF,ITW,CL,NSC,SHW,UBER,MMC,BDX,EL,FISV,SO,APD,EQIX,ADSK,ICE,D,FCX,ADI,BSX,ILMN,WM,EW,NEM,ETN,PGR,ZM,GPN,AON,NOC,HCA,EMR,F,HUM,MCO,VRTX,ECL,MRNA,DOW,DG,MET,KLAC,REGN,TWLO,JCI,GD,IDXX,ROP,EOG,INTO.BR,IQV,ALGN,LHX,AIG,DD,TWTR,KMB,TT,ROST,EXC,SLB,TROW,AEP,PRU,PSA,DLR,PPG,CNC,A,SPG,BAX,INFO,BK,ALL,WDAY,EA,SRE,BIIB,APTV,TRV,MPC,CARR,PH,VEEV,EBAY,SYY,SNPS,APH,MCHP,STZ,4338.SR,BX,NXPI,DOCU,ROKU,MRVL,CMG,MTCH,PINS,PLTR,MSCI,LULU,DXCM,ALXN,TEAM,ORLY,CRWD,CDNS,PANW,FTNT,RMD,SNOW,MAR,NET,KKR,XLNX,SUM
09/02/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/03/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/06/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/07/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/08/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/09/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/10/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/13/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/14/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/15/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/16/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/17/2021,5.1,4.79,3.22,1.9,1.84,1.68,1.16,1.02,1.19,1.01,0.86,1.04,0.93,0.79,0.77,0.64,0.71,0.75,0.72,0.6,0.54,0.66,0.48,0.51,0.52,0.53,0.5,0.49,0.45,0.5,0.48,0.47,0.44,0.46,0.46,0.43,0.43,0.47,0.45,0.42,0.39,0.4,0.39,0.46,0.46,0.42,0.31,0.36,0.42,0.0,0.31,0.38,0.32,0.35,0.34,0.34,0.34,0.31,0.31,0.32,0.27,0.25,0.28,0.28,0.3,0.29,0.29,0.28,0.25,0.28,0.26,0.29,0.24,0.3,0.25,0.23,0.24,0.21,0.22,0.26,0.2,0.29,0.2,0.19,0.2,0.21,0.26,0.2,0.23,0.17,0.2,0.21,0.21,0.2,0.21,0.16,0.19,0.22,0.17,0.17,0.19,0.19,0.17,0.19,0.15,0.16,0.17,0.17,0.14,0.18,0.18,0.16,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.16,0.15,0.13,0.12,0.14,0.14,0.16,0.14,0.15,0.11,0.14,0.12,0.18,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.12,0.27,0.1,0.12,0.1,0.12,0.13,0.13,0.11,0.11,0.13,0.11,0.1,0.0,0.11,0.12,0.1,0.09,0.0,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.09,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.11,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.13,0.13,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.1,0.11,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63000000000001
09/20/2021,5.18,4.94,3.27,1.97,1.92,1.76,1.16,1.04,1.24,0.99,0.85,1.16,0.84,0.76,0.75,0.68,0.72,0.66,0.74,0.6,0.5,0.69,0.47,0.49,0.54,0.56,0.53,0.47,0.43,0.53,0.47,0.48,0.41,0.46,0.46,0.42,0.43,0.47,0.46,0.41,0.38,0.38,0.39,0.44,0.48,0.44,0.32,0.35,0.45,0.0,0.31,0.36,0.31,0.35,0.32,0.34,0.36,0.32,0.28,0.3,0.26,0.25,0.29,0.27,0.32,0.27,0.28,0.3,0.25,0.29,0.24,0.27,0.25,0.31,0.24,0.23,0.25,0.2,0.23,0.27,0.2,0.29,0.19,0.18,0.19,0.17,0.28,0.2,0.23,0.16,0.19,0.21,0.22,0.19,0.21,0.17,0.2,0.23,0.18,0.17,0.19,0.18,0.16,0.18,0.14,0.16,0.18,0.16,0.14,0.15,0.18,0.16,0.16,0.14,0.14,0.16,0.14,0.17,0.16,0.17,0.15,0.15,0.13,0.16,0.15,0.14,0.14,0.12,0.19,0.14,0.14,0.14,0.16,0.1,0.15,0.12,0.13,0.1,0.14,0.12,0.14,0.14,0.11,0.11,0.13,0.11,0.12,0.28,0.1,0.12,0.1,0.11,0.15,0.13,0.12,0.11,0.12,0.11,0.0,0.0,0.11,0.12,0.1,0.1,0.0,0.11,0.1,0.1,0.09,0.1,0.0,0.11,0.1,0.09,0.11,0.1,0.0,0.0,0.12,0.1,0.0,0.1,0.1,0.0,0.11,0.09,0.09,0.11,0.09,0.0,0.0,0.11,0.0,0.1,0.11,0.0,0.11,0.1,0.0,0.0,0.0,0.19,0.13,0.12,0.0,0.11,0.12,0.0,0.0,0.09,0.11,0.1,0.11,0.0,0.11,0.0,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,69.97
09/21/2021,5.18,4.94,3.27,1.97,1.92,1.76,1.16,1.04,1.24,0.99,0.85,1.16,0.84,0.76,0.75,0.68,0.72,0.66,0.74,0.6,0.5,0.69,0.47,0.49,0.54,0.56,0.53,0.47,0.43,0.53,0.47,0.48,0.41,0.46,0.46,0.42,0.43,0.47,0.46,0.41,0.38,0.38,0.39,0.44,0.48,0.44,0.32,0.35,0.45,0.0,0.31,0.36,0.31,0.35,0.32,0.34,0.36,0.32,0.28,0.3,0.26,0.25,0.29,0.27,0.32,0.27,0.28,0.3,0.25,0.29,0.24,0.27,0.25,0.31,0.24,0.23,0.25,0.2,0.23,0.27,0.2,0.29,0.19,0.18,0.19,0.17,0.28,0.2,0.23,0.16,0.19,0.21,0.22,0.19,0.21,0.17,0.2,0.23,0.18,0.17,0.19,0.18,0.16,0.18,0.14,0.16,0.18,0.16,0.14,0.15,0.18,0.16,0.16,0.14,0.14,0.16,0.14,0.17,0.16,0.17,0.15,0.15,0.13,0.16,0.15,0.14,0.14,0.12,0.19,0.14,0.14,0.14,0.16,0.1,0.15,0.12,0.13,0.1,0.14,0.12,0.14,0.14,0.11,0.11,0.13,0.11,0.12,0.28,0.1,0.12,0.1,0.11,0.15,0.13,0.12,0.11,0.12,0.11,0.0,0.0,0.11,0.12,0.1,0.1,0.0,0.11,0.1,0.1,0.09,0.1,0.0,0.11,0.1,0.09,0.11,0.1,0.0,0.0,0.12,0.1,0.0,0.1,0.1,0.0,0.11,0.09,0.09,0.11,0.09,0.0,0.0,0.11,0.0,0.1,0.11,0.0,0.11,0.1,0.0,0.0,0.0,0.19,0.13,0.12,0.0,0.11,0.12,0.0,0.0,0.09,0.11,0.1,0.11,0.0,0.11,0.0,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,69.97
