,AAPL,MSFT,NVDA,FB,GOOGL,LLY,NKE,IDXX,INTU,TMO,ACN,DHR,EBAY,TGT,TECH,JNJ,PG,UNH,ETN,MDT,MRNA,VZ,SC,PEP,ABT,EL,ZTS,DVN,LEN,NEE,MS,LH,CMCSA,TMUS,WST,LOW,TSCO,WM,CSCO,GRMN,DUK,AMAT,EQT,HCA,UTHR,SYF,DKS,WMB,ANTM,LRCX,NRG,ENPH,LUMN,EXC,TXN,FAST,CF,SWKS,AVY,CCI,RSG,SO,PPG,RUN,PM,ROKU,WSM,ABBV,MSI,PGR,KO,IP,EVRG,T,AWK,DOW,WHR,ANET,AMGN,PLD,PFE,PSA,PWR,HAL,EOG,KLAC,MDLZ,HSY,STLD,CI,EMN,BBY,AES,LYB,VICI,BMY,CHTR,TER,CDNS,CVS,PEG,ADI,ALLY,AEE,CE,NUE,CNP,HUN,HRC,CMI,STT,NUAN,GWW,WELL,GIS,RPM,XEL,NEM,PNW,D,RS,WEC,VST,AVGO,GNTX,ORCL,DGX,EXR,HUM,BR,PKI,UGI,VER,BIO,DVA,COG,SPG,RHI,SCCO,NFG,KDP,JNPR,ITW,AM,TT,DLR,CL,PPL,SHW,SRE,KR,PXD,UHS,MO,ITT,ES,PEAK,ED,LITE,MCK,DTE,CBRE,ABC,CLX,SJM,SMG,OGE,STWD,MPW,BKR,TSN,LNT,FSLR,CMS,MXIM,INTC,F,IDA,CHD,ROK,KHC,K,UNP,STZ,AGR,KMB,CAG,MAS,STE,DISH,MKC,ALB,HRL,WU,MNST,HIG,BF.B,IRM,XLNX,NI,ADM,VTR,ESI,JLL,CTVA,OLN,ATUS,CC,WY,AOS,CSGP,ETR,FLO,CPB,SAM,WPC,AON,SYY,LSI,APH,KIM,FITB,HBAN,WBA,TFC,FNF,MMC,n/a,MRO,COF,XEC,MOS,TRGP,DAR,NTAP,FCX,WLK,TAP,ACI,IPG,BG,LAMR,KSS,CTRA,BUWA.,BAC,CIEN,X,HPQ,FE,AEP,GILD,INGR,ASH,VIRT,SUM
12/30/2021,0.54,0.51,0.4,0.43,0.44,0.43,0.38,0.39,0.38,0.41,0.44,0.4,0.33,0.34,0.4,0.41,0.43,0.44,0.38,0.31,0.31,0.38,0.42,0.41,0.42,0.42,0.42,0.39,0.39,0.41,0.37,0.39,0.36,0.31,0.4,0.39,0.39,0.38,0.42,0.3,0.4,0.41,0.0,0.39,0.39,0.36,0.32,0.36,0.45,0.41,0.44,0.34,0.4,0.4,0.36,0.4,0.47,0.0,0.35,0.35,0.38,0.41,0.34,0.0,0.4,0.0,0.37,0.42,0.41,0.37,0.42,0.0,0.4,0.31,0.39,0.32,0.35,0.45,0.32,0.41,0.44,0.41,0.38,0.35,0.38,0.4,0.37,0.41,0.4,0.32,0.34,0.3,0.33,0.3,0.31,0.31,0.0,0.41,0.41,0.43,0.37,0.37,0.33,0.35,0.36,0.4,0.35,0.39,0.0,0.0,0.37,0.33,0.36,0.32,0.35,0.35,0.0,0.31,0.0,0.34,0.35,0.32,0.37,0.46,0.32,0.37,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.38,0.0,0.35,0.4,0.42,0.32,0.0,0.31,0.35,0.31,0.4,0.37,0.0,0.39,0.35,0.0,0.41,0.32,0.0,0.3,0.32,0.47,0.39,0.3,0.36,0.33,0.29,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.3,0.0,0.0,0.4,0.32,0.32,0.33,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.3,0.3,0.3,0.0,0.35,0.3,0.0,0.32,0.3,0.0,0.42,0.38,0.31,0.4,0.0,0.0,0.42,0.38,0.41,0.0,0.3,0.3,0.38,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.3,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.79,0.4,0.34,0.0,0.35,0.35,0.0,0.0,0.42,0.38,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.44,0.35,0.31,0.4,0.31,0.3,0.0,0.0,0.0,74.00999999999999
12/31/2021,0.54,0.51,0.41,0.44,0.43,0.44,0.38,0.39,0.39,0.4,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.0,0.37,0.41,0.41,0.42,0.42,0.42,0.41,0.39,0.4,0.37,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.33,0.37,0.45,0.42,0.44,0.33,0.39,0.4,0.37,0.41,0.48,0.0,0.36,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.35,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.41,0.42,0.41,0.39,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.3,0.33,0.31,0.31,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.33,0.35,0.37,0.39,0.35,0.4,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.35,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.46,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.37,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.3,0.4,0.3,0.0,0.3,0.0,0.0,0.41,0.32,0.32,0.34,0.41,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.3,0.0,0.35,0.3,0.0,0.32,0.31,0.0,0.43,0.39,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.31,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.33,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.36,0.0,0.3,0.44,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.36,0.31,0.4,0.31,0.3,0.3,0.0,0.0,74.06
01/03/2022,0.54,0.51,0.4,0.44,0.43,0.44,0.38,0.39,0.39,0.41,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.3,0.37,0.41,0.41,0.42,0.42,0.42,0.4,0.39,0.4,0.36,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.34,0.36,0.45,0.42,0.44,0.32,0.39,0.41,0.36,0.41,0.47,0.0,0.37,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.36,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.42,0.42,0.41,0.38,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.31,0.33,0.31,0.32,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.32,0.36,0.37,0.39,0.35,0.42,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.36,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.47,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.38,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.31,0.0,0.0,0.4,0.32,0.32,0.34,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.0,0.0,0.35,0.3,0.0,0.33,0.31,0.0,0.42,0.38,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.3,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.35,0.3,0.3,0.43,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.35,0.31,0.4,0.31,0.3,0.0,0.3,0.0,74.05999999999999
01/03/2022,0.54,0.51,0.4,0.44,0.43,0.44,0.38,0.39,0.39,0.41,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.3,0.37,0.41,0.41,0.42,0.42,0.42,0.4,0.39,0.4,0.36,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.34,0.36,0.45,0.42,0.44,0.32,0.39,0.41,0.36,0.41,0.47,0.0,0.37,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.36,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.42,0.42,0.41,0.38,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.31,0.33,0.31,0.32,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.32,0.36,0.37,0.39,0.35,0.42,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.36,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.47,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.38,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.31,0.0,0.0,0.4,0.32,0.32,0.34,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.0,0.0,0.35,0.3,0.0,0.33,0.31,0.0,0.42,0.38,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.3,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.35,0.3,0.3,0.43,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.35,0.31,0.4,0.31,0.3,0.0,0.3,0.0,74.05999999999999
01/03/2022,0.54,0.51,0.4,0.44,0.43,0.44,0.38,0.39,0.39,0.41,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.3,0.37,0.41,0.41,0.42,0.42,0.42,0.4,0.39,0.4,0.36,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.34,0.36,0.45,0.42,0.44,0.32,0.39,0.41,0.36,0.41,0.47,0.0,0.37,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.36,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.42,0.42,0.41,0.38,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.31,0.33,0.31,0.32,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.32,0.36,0.37,0.39,0.35,0.42,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.36,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.47,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.38,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.31,0.0,0.0,0.4,0.32,0.32,0.34,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.0,0.0,0.35,0.3,0.0,0.33,0.31,0.0,0.42,0.38,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.3,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.35,0.3,0.3,0.43,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.35,0.31,0.4,0.31,0.3,0.0,0.3,0.0,74.05999999999999
01/04/2022,0.54,0.51,0.4,0.44,0.43,0.44,0.38,0.39,0.39,0.41,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.3,0.37,0.41,0.41,0.42,0.42,0.42,0.4,0.39,0.4,0.36,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.34,0.36,0.45,0.42,0.44,0.32,0.39,0.41,0.36,0.41,0.47,0.0,0.37,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.36,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.42,0.42,0.41,0.38,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.31,0.33,0.31,0.32,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.32,0.36,0.37,0.39,0.35,0.42,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.36,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.47,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.38,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.31,0.0,0.0,0.4,0.32,0.32,0.34,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.0,0.0,0.35,0.3,0.0,0.33,0.31,0.0,0.42,0.38,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.3,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.35,0.3,0.3,0.43,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.35,0.31,0.4,0.31,0.3,0.0,0.3,0.0,74.05999999999999
01/05/2022,0.54,0.51,0.4,0.44,0.43,0.44,0.38,0.39,0.39,0.41,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.3,0.37,0.41,0.41,0.42,0.42,0.42,0.4,0.39,0.4,0.36,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.34,0.36,0.45,0.42,0.44,0.32,0.39,0.41,0.36,0.41,0.47,0.0,0.37,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.36,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.42,0.42,0.41,0.38,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.31,0.33,0.31,0.32,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.32,0.36,0.37,0.39,0.35,0.42,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.36,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.47,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.38,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.31,0.0,0.0,0.4,0.32,0.32,0.34,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.0,0.0,0.35,0.3,0.0,0.33,0.31,0.0,0.42,0.38,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.3,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.35,0.3,0.3,0.43,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.35,0.31,0.4,0.31,0.3,0.0,0.3,0.0,74.05999999999999
01/06/2022,0.54,0.51,0.4,0.44,0.43,0.44,0.38,0.39,0.39,0.41,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.3,0.37,0.41,0.41,0.42,0.42,0.42,0.4,0.39,0.4,0.36,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.34,0.36,0.45,0.42,0.44,0.32,0.39,0.41,0.36,0.41,0.47,0.0,0.37,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.36,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.42,0.42,0.41,0.38,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.31,0.33,0.31,0.32,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.32,0.36,0.37,0.39,0.35,0.42,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.36,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.47,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.38,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.31,0.0,0.0,0.4,0.32,0.32,0.34,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.0,0.0,0.35,0.3,0.0,0.33,0.31,0.0,0.42,0.38,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.3,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.35,0.3,0.3,0.43,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.35,0.31,0.4,0.31,0.3,0.0,0.3,0.0,74.05999999999999
01/07/2022,0.54,0.51,0.4,0.44,0.43,0.44,0.38,0.39,0.39,0.41,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.3,0.37,0.41,0.41,0.42,0.42,0.42,0.4,0.39,0.4,0.36,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.34,0.36,0.45,0.42,0.44,0.32,0.39,0.41,0.36,0.41,0.47,0.0,0.37,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.36,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.42,0.42,0.41,0.38,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.31,0.33,0.31,0.32,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.32,0.36,0.37,0.39,0.35,0.42,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.36,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.47,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.38,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.31,0.0,0.0,0.4,0.32,0.32,0.34,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.0,0.0,0.35,0.3,0.0,0.33,0.31,0.0,0.42,0.38,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.3,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.35,0.3,0.3,0.43,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.35,0.31,0.4,0.31,0.3,0.0,0.3,0.0,74.05999999999999
01/10/2022,0.54,0.51,0.4,0.44,0.43,0.44,0.38,0.39,0.39,0.41,0.45,0.4,0.34,0.35,0.4,0.41,0.43,0.45,0.39,0.31,0.3,0.37,0.41,0.41,0.42,0.42,0.42,0.4,0.39,0.4,0.36,0.39,0.37,0.3,0.41,0.4,0.39,0.39,0.43,0.3,0.4,0.42,0.0,0.39,0.39,0.36,0.34,0.36,0.45,0.42,0.44,0.32,0.39,0.41,0.36,0.41,0.47,0.0,0.37,0.36,0.39,0.41,0.35,0.0,0.4,0.0,0.36,0.42,0.42,0.37,0.42,0.0,0.4,0.31,0.39,0.33,0.36,0.46,0.32,0.42,0.42,0.41,0.38,0.35,0.39,0.41,0.37,0.4,0.4,0.33,0.35,0.31,0.33,0.31,0.32,0.31,0.0,0.42,0.41,0.44,0.37,0.37,0.32,0.36,0.37,0.39,0.35,0.42,0.0,0.0,0.37,0.33,0.37,0.32,0.35,0.36,0.0,0.31,0.0,0.34,0.35,0.32,0.36,0.47,0.33,0.36,0.38,0.42,0.0,0.0,0.38,0.31,0.0,0.35,0.0,0.0,0.4,0.39,0.0,0.35,0.4,0.43,0.33,0.0,0.31,0.35,0.32,0.39,0.38,0.0,0.39,0.35,0.0,0.41,0.33,0.0,0.3,0.32,0.47,0.4,0.3,0.36,0.33,0.0,0.4,0.0,0.31,0.0,0.31,0.0,0.4,0.3,0.0,0.31,0.0,0.0,0.4,0.32,0.32,0.34,0.4,0.0,0.32,0.34,0.0,0.3,0.31,0.31,0.31,0.0,0.0,0.35,0.3,0.0,0.33,0.31,0.0,0.42,0.38,0.31,0.41,0.0,0.0,0.43,0.39,0.42,0.0,0.3,0.3,0.39,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.0,0.32,0.31,0.31,0.3,0.0,0.42,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.36,0.35,0.3,0.3,0.43,0.39,0.0,0.0,0.31,0.4,0.3,0.0,0.38,0.0,0.0,0.45,0.35,0.31,0.4,0.31,0.3,0.0,0.3,0.0,74.05999999999999
01/11/2022,0.53,0.48,0.38,0.43,0.41,0.42,0.37,0.35,0.35,0.38,0.41,0.38,0.34,0.36,0.34,0.41,0.44,0.42,0.38,0.32,0.0,0.38,0.41,0.41,0.41,0.41,0.38,0.45,0.37,0.38,0.38,0.36,0.37,0.0,0.36,0.4,0.39,0.38,0.41,0.0,0.4,0.42,0.0,0.39,0.36,0.37,0.33,0.39,0.43,0.41,0.43,0.0,0.4,0.41,0.36,0.39,0.45,0.0,0.37,0.34,0.38,0.41,0.35,0.0,0.42,0.0,0.33,0.43,0.4,0.38,0.44,0.31,0.4,0.33,0.37,0.34,0.36,0.42,0.32,0.39,0.4,0.41,0.37,0.4,0.42,0.42,0.38,0.42,0.41,0.33,0.35,0.31,0.32,0.33,0.32,0.31,0.0,0.42,0.37,0.44,0.37,0.37,0.34,0.35,0.39,0.4,0.35,0.43,0.0,0.31,0.39,0.33,0.36,0.34,0.36,0.34,0.0,0.31,0.0,0.34,0.36,0.32,0.37,0.45,0.34,0.35,0.36,0.41,0.0,0.0,0.36,0.31,0.0,0.32,0.0,0.0,0.42,0.4,0.0,0.35,0.41,0.42,0.33,0.0,0.3,0.32,0.32,0.4,0.36,0.3,0.41,0.38,0.0,0.43,0.33,0.0,0.0,0.33,0.47,0.4,0.31,0.35,0.33,0.31,0.42,0.0,0.31,0.0,0.32,0.31,0.42,0.0,0.0,0.31,0.0,0.0,0.48,0.32,0.33,0.33,0.42,0.3,0.33,0.34,0.0,0.3,0.31,0.3,0.3,0.0,0.0,0.36,0.31,0.0,0.33,0.32,0.0,0.38,0.36,0.32,0.42,0.0,0.0,0.41,0.4,0.39,0.0,0.33,0.31,0.38,0.0,0.0,0.0,0.31,0.0,0.0,0.33,0.0,0.31,0.31,0.32,0.34,0.31,0.43,0.3,0.0,0.0,0.0,0.46,0.35,0.0,0.36,0.38,0.0,0.31,0.43,0.41,0.31,0.0,0.31,0.43,0.0,0.0,0.39,0.0,0.31,0.44,0.38,0.32,0.4,0.31,0.0,0.0,0.0,0.0,73.94999999999999
01/12/2022,0.53,0.48,0.38,0.43,0.41,0.42,0.37,0.35,0.35,0.38,0.41,0.38,0.34,0.36,0.34,0.41,0.44,0.42,0.38,0.32,0.0,0.38,0.41,0.41,0.41,0.41,0.38,0.45,0.37,0.38,0.38,0.36,0.37,0.0,0.36,0.4,0.39,0.38,0.41,0.0,0.4,0.42,0.0,0.39,0.36,0.37,0.33,0.39,0.43,0.41,0.43,0.0,0.4,0.41,0.36,0.39,0.45,0.0,0.37,0.34,0.38,0.41,0.35,0.0,0.42,0.0,0.33,0.43,0.4,0.38,0.44,0.31,0.4,0.33,0.37,0.34,0.36,0.42,0.32,0.39,0.4,0.41,0.37,0.4,0.42,0.42,0.38,0.42,0.41,0.33,0.35,0.31,0.32,0.33,0.32,0.31,0.0,0.42,0.37,0.44,0.37,0.37,0.34,0.35,0.39,0.4,0.35,0.43,0.0,0.31,0.39,0.33,0.36,0.34,0.36,0.34,0.0,0.31,0.0,0.34,0.36,0.32,0.37,0.45,0.34,0.35,0.36,0.41,0.0,0.0,0.36,0.31,0.0,0.32,0.0,0.0,0.42,0.4,0.0,0.35,0.41,0.42,0.33,0.0,0.3,0.32,0.32,0.4,0.36,0.3,0.41,0.38,0.0,0.43,0.33,0.0,0.0,0.33,0.47,0.4,0.31,0.35,0.33,0.31,0.42,0.0,0.31,0.0,0.32,0.31,0.42,0.0,0.0,0.31,0.0,0.0,0.48,0.32,0.33,0.33,0.42,0.3,0.33,0.34,0.0,0.3,0.31,0.3,0.3,0.0,0.0,0.36,0.31,0.0,0.33,0.32,0.0,0.38,0.36,0.32,0.42,0.0,0.0,0.41,0.4,0.39,0.0,0.33,0.31,0.38,0.0,0.0,0.0,0.31,0.0,0.0,0.33,0.0,0.31,0.31,0.32,0.34,0.31,0.43,0.3,0.0,0.0,0.0,0.46,0.35,0.0,0.36,0.38,0.0,0.31,0.43,0.41,0.31,0.0,0.31,0.43,0.0,0.0,0.39,0.0,0.31,0.44,0.38,0.32,0.4,0.31,0.0,0.0,0.0,0.0,73.94999999999999
