,CROX,SAIA,OMCL,GME,GTLS,POWI,NEO,EXPO,IIPR,ENSG,BCPC,MTH,VIAV,LGIH,MED,AEIS,LCII,ALRM,MSTR,ONTO,LPSN,STMP,EXLS,SHAK,WDFC,SPSC,SFBS,VG,FELE,KWR,DIOD,RCII,FIX,TRUP,WD,MMSI,DORM,EPRT,LTHM,SNBR,MATX,JBT,BMI,IRBT,FORM,REGI,AAON,IBP,FWRD,PCRX,AMN,EVTC,VCEL,ROCK,MXL,FSS,VSTO,EGHT,UFPI,PRLB,UCTT,AVAV,COOP,AX,MDRX,WTS,PRFT,CCS,AIT,CORT,HI,CNMD,ADC,XNCR,SEM,ITRI,GDOT,GKOS,NMIH,BIG,FN,CBU,ELY,CCOI,SSTK,VRTS,RRC,ARNC,BGS,TTEC,HSKA,AVNS,VICR,SWN,PATK,TBK,MDC,ROG,FUL,MODV,PRAA,CELH,COHU,UNF,CYH,DDD,OMI,EHTH,CWT,TTGT,CVET,ACA,SPXC,PLXS,SHEN,UNIT,MANT,LMNX,PLMR,AWR,DIN,SUPN,KLIC,THRM,AJRD,SCL,CYTK,ALG,EAT,JOE,ESE,MTDR,ADUS,PGTI,ALGT,XPER,KFY,HIBB,AIN,KTB,BOOT,BSIG,SMPL,FLGT,FBC,PRGS,WGO,TUP,SHOO,LXP,RGNX,CENTA,MLAB,ITGR,FCPT,FIZZ,CVBF,WWW,CTRE,HZO,JJSF,UNFI,SNEX,FLOW,CVCO,PIPR,BRC,LNN,MD,CHCT,MLI,TCMD,AGYS,CEVA,CPK,SAFE,MOG.A,MRTN,PRK,LZB,TRHC,INDB,CASH,IOSP,ASTE,JYNT,RMBS,ACLS,PSMT,VIVO,QNST,OSPN,RILY,VGR,EPAY,PNTG,CAKE,LMAT,RGR,OSIS,BOOM,POLY,CHRS,IRT,BCEI,MYRG,INVA,RAVN,COLL,USPH,n/a,BLFS,CRVL,MSEX,NXRT,AMEH,LGND,SLQT,CALM,TREE,CIVI,OPRX,CDMO,TBBK,HCI,NBHC,EBS,COKE,CSGS,CSR,SUM
08/31/2021,0.0,1.13,1.34,1.14,1.06,1.02,1.09,0.95,0.93,0.91,0.87,0.73,0.82,0.73,0.68,0.88,0.68,0.78,1.06,0.73,0.83,0.75,0.73,0.79,0.72,0.73,0.65,0.7,0.64,0.64,0.69,0.65,0.58,0.79,0.63,0.65,0.6,0.65,0.63,0.55,0.57,0.56,0.58,0.54,0.58,0.61,0.52,0.56,0.5,0.55,0.59,0.53,0.5,0.51,0.6,0.5,0.55,0.62,0.48,0.52,0.48,0.46,0.46,0.49,0.53,0.53,0.54,0.4,0.44,0.47,0.45,0.46,0.49,0.41,0.47,0.48,0.52,0.51,0.39,0.43,0.45,0.39,0.0,0.42,0.45,0.41,0.51,0.4,0.43,0.38,0.46,0.36,0.46,0.43,0.33,0.34,0.34,0.41,0.35,0.42,0.36,0.51,0.36,0.38,0.39,0.48,0.34,0.31,0.34,0.37,0.33,0.31,0.33,0.3,0.32,0.32,0.33,0.33,0.34,0.32,0.31,0.33,0.38,0.32,0.33,0.28,0.29,0.31,0.31,0.28,0.29,0.35,0.27,0.28,0.25,0.3,0.32,0.3,0.28,0.24,0.3,0.28,0.28,0.33,0.25,0.27,0.24,0.24,0.27,0.24,0.28,0.24,0.27,0.25,0.24,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.21,0.21,0.22,0.24,0.22,0.22,0.21,0.22,0.2,0.21,0.24,0.22,0.22,0.23,0.19,0.2,0.19,0.18,0.23,0.18,0.18,0.0,0.0,0.23,0.23,0.18,0.19,0.2,0.19,0.0,0.19,0.18,0.18,0.21,0.18,0.21,0.2,0.18,0.21,0.21,0.19,0.19,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.05
09/01/2021,0.0,1.13,1.34,1.14,1.06,1.02,1.09,0.95,0.93,0.91,0.87,0.73,0.82,0.73,0.68,0.88,0.68,0.78,1.06,0.73,0.83,0.75,0.73,0.79,0.72,0.73,0.65,0.7,0.64,0.64,0.69,0.65,0.58,0.79,0.63,0.65,0.6,0.65,0.63,0.55,0.57,0.56,0.58,0.54,0.58,0.61,0.52,0.56,0.5,0.55,0.59,0.53,0.5,0.51,0.6,0.5,0.55,0.62,0.48,0.52,0.48,0.46,0.46,0.49,0.53,0.53,0.54,0.4,0.44,0.47,0.45,0.46,0.49,0.41,0.47,0.48,0.52,0.51,0.39,0.43,0.45,0.39,0.0,0.42,0.45,0.41,0.51,0.4,0.43,0.38,0.46,0.36,0.46,0.43,0.33,0.34,0.34,0.41,0.35,0.42,0.36,0.51,0.36,0.38,0.39,0.48,0.34,0.31,0.34,0.37,0.33,0.31,0.33,0.3,0.32,0.32,0.33,0.33,0.34,0.32,0.31,0.33,0.38,0.32,0.33,0.28,0.29,0.31,0.31,0.28,0.29,0.35,0.27,0.28,0.25,0.3,0.32,0.3,0.28,0.24,0.3,0.28,0.28,0.33,0.25,0.27,0.24,0.24,0.27,0.24,0.28,0.24,0.27,0.25,0.24,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.21,0.21,0.22,0.24,0.22,0.22,0.21,0.22,0.2,0.21,0.24,0.22,0.22,0.23,0.19,0.2,0.19,0.18,0.23,0.18,0.18,0.0,0.0,0.23,0.23,0.18,0.19,0.2,0.19,0.0,0.19,0.18,0.18,0.21,0.18,0.21,0.2,0.18,0.21,0.21,0.19,0.19,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.05
09/02/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/03/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/06/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/07/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/08/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/09/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/10/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/13/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/14/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/15/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/16/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
